Director,Actor,Country,Genre
,Lucy Boynton,,
,Lucy Capri,,
,Lucy Cominetti,,
,Lucy Davis,,
,Lucy Decoutere,,
,Lucy Durack,,
,Lucy Faust,,
,Lucy Fry,,
,Lucy Hale,,
,Lucy Lawless,,
,Lucy Liu,,
,Lucy Loken,,
,Lucy Montgomery,,
,Lucy O'Connell,,
,Lucy Pinder,,
,Lucy Punch,,
,Lucy Walters,,
,Ludacris,,
,Ludi Lin,,
,Ludivine Sagnier,,
,Ludo Lefebvre,,
,Ludovica Martino,,
,Ludovico Tersigni,,
,Ludovik,,
,Ludovik Day,,
,Ludwig Simon,,
,Luellem de Castro,,
,Luenell,,
,Lui Manansala,,
,Luichi Macías,,
,Luigi Aycardi,,
,Luigi Maria Burruano,,
,Luis Aguirre,,
,Luis Alberti,,
,Luis Alberto García,,
,Luis Alberto Saavedra,,
,Luis Alfredo Velasco,,
,Luis Arrieta,,
,Luis Bermejo,,
,Luis Bordonada,,
,Luis Brandoni,,
,Luis Callejo,,
,Luis Curiel,,
,Luis Da Silva Jr.,,
,Luis de Icaza,,
,Luis De La Rosa,,
,Luis Dubó,,
,Luis Eduardo Arango,,
,Luis Eduardo Yee,,
,Luis Ernesto Franco,,
,Luis Felipe Tovar,,
,Luis Fernández,,
,Luis Fernando Hoyos,,
,Luis Fernando Peña,,
,Luis Gatica,,
,Luis Gerardo Méndez,,
,Luis Gerónimo Abreu,,
,Luis Gnecco,,
,Luis Gonzaga,,
,Luis Guzman,,
,Luis Guzmán,,
,Luis Jaspe,,
,Luis Larrodera,,
,Luis Leonardo Zapata,,
,Luis Lobianco,,
,Luis Luque,,
,Luis Machín,,
,Luis Manuel Ávila,,
,Luis Maya,,
,Luis Mesa,,
,Luis Pablo Román,,
,Luis Rábago,,
,Luis Rivera,,
,Luis Roberto Guzmán,,
,Luis Rosales,,
,Luis Tosar,,
,Luis Zahera,,
,Luís Zahera,,
,Luis Ziembrowski,,
,Luisa Drozdek,,
,Luisa Gavasa,,
,Luisa Mayol,,
,Luisa Merelas,,
,Luisa Ranieri,,
,Luisa Rubino,,
,Luisana Lopilato,,
,Luise Befort,,
,Luise Wolfram,,
,Luka Jones,,
,Luka Kain,,
,Luka Peros,,
,Lukas Engel,,
,Lukas Gage,,
,Lukas Haas,,
,Lukas Hassel,,
,Lukas Løkken,,
,Lukas Loughran,,
,Lukas Miko,,
,Lukas Nelson,,
,Lukas Spisser,,
,"Łukasz ""Lotek” Lodkowski",,
,Lukasz Nowicki,,
,Luke Allen-Gale,,
,Luke Amis,,
,Luke Arnold,,
,Luke Baines,,
,Luke Benward,,
,Luke Bilyk,,
,Luke Bracey,,
,Luke Cosgrove,,
,Luke Coutts,,
,Luke Edwards,,
,Luke Eisner,,
,Luke Evans,,
,Luke Gordon,,
,Luke Goss,,
,Luke Grimes,,
,Luke Haliwell,,
,Luke Hawker,,
,Luke Hemsworth,,
,Luke Jacobz,,
,Luke Jurevicius,,
,Luke Kenny,,
,Luke Kirby,,
,Luke LaFontaine,,
,Luke Mably,,
,Luke Massy,,
,Luke Mitchell,,
,Luke Mockridge,,
,Luke Mpata,,
,Luke Newton,,
,Luke Norris,,
,Luke Pasqualino,,
,Luke Perry,,
,Luke Pierucci,,
,Luke Roessler,,
,Luke Spencer Roberts,,
,Luke Tennie,,
,Luke Thompson,,
,Luke Treadaway,,
,Luke Wilson,,
,Luke Youngblood,,
,Lukman Sardi,,
,Lukram Smil,,
,Lulu Antariksa,,
,Lulu Wilson,,
,Lulu Xu,,
,Lumi Cavazos,,
,Luminita Gheorghiu,,
,Lun Hua,,
,Lun-Mei Kwai,,
,Luna,,
,Luna Baxter,,
,Luna Maya,,
,Luna Schaller,,
,Luna Silva,,
,Luna Wedler,,
,Lunathi Mampofu,,
,Lung Hsiung,,
,Lung Shao-hua,,
,Lung Ti,,
,Lung Wei Wang,,
,Luo Guanxu,,
,Luo Jin,,
,Luo Yunxi,,
,Luoyong Wang,,
,Lupe Cartié Roda,,
,Lupe Ontiveros,,
,Lupita Nyong'o,,
,Lurie Poston,,
,Lushin Dubey,,
,Lusia Strus,,
,Lutfur Rahman George,,
,Luvvie Ajayi,,
,Luxia Jiang,,
,Luz María Jerez,,
,Luz Valdenebro,,
,Luz Valdez,,
,Lv Xiao Yu,,
,Lydia Du Veaux,,
,Lydia Forson,,
,Lydia Hearst,,
,Lydia Hull,,
,Lydia Jordan,,
,Lydia Lawson-Baird,,
,Lydia Look,,
,Lydia Rose Taylor,,
,Lydia Wilson,,
,Lyes Salem,,
,Lykke Sand Michelsen,,
,Lyla Lin,,
,Lyle Lettau,,
,Lyle Lovett,,
,Lyman Chen,,
,Lyman Ward,,
,Lyn May,,
,Lynda Baron,,
,Lynda Boyd,,
,Lyndon Ogbourne,,
,Lyndon Smith,,
,Lyndsey Marshal,,
,Lyndsy Kail,,
,Lynette Narkle,,
,Lynita Crofford,,
,Lynn,,
,Lynn Cohen,,
,Lynn Collins,,
,Lynn Hung,,
,Lynn Masako Cheng,,
,Lynn Redgrave,,
,Lynn Van Royen,,
,Lynn Whitfield,,
,Lynne Guaglione,,
,Lynne Koplitz,,
,Lynne Thigpen,,
,Lynsey Addario,,
,Lynsey Pham,,
,Lynsey Taylor Mackay,,
,Lyon Daniels,,
,Lyon Smith,,
,Lyric Justice,,
,Lyric Lewis,,
,Lyriq Bent,,
,M Ibrahim,,
,M・A・O,,
,M. Emmet Walsh,,
,M. Ilavarasu,,
,M. Night Shyamalan,,
,M. Rajan,,
,M. Rajoli,,
,M. Sasikumar,,
,M.C. Gainey,,
,M.K. Raina,,
,M.L. Kwantip Devakula,,
,M.R. Gopakumar,,
,Ma Bai Quan,,
,Ma Chi Wai,,
,Ma Dong-seok,,
,Ma Ju-lung,,
,Ma Nien-hsien,,
,Ma Tianyu,,
,Maaike Cafmeyer,,
,Maaike Neuville,,
,Maanvi Gagroo,,
,Maaya Sakamoto,,
,Maaya Uchida,,
,Mabel Moreno,,
,Mabutho Sithole,,
,Mac Brandt,,
,Mac Davis,,
,Mac Heywood,,
,Mac Mohan,,
,Macarena Achaga,,
,Macarena García,,
,Macarena Gómez,,
,Macaulay Culkin,,
,Maceo Smedley,,
,Macey Howarth,,
,Machiko Ono,,
,Machine Gun Kelly,,
,Maciej Musiał,,
,Maciej Musiałowski,,
,Maciej Stuhr,,
,Maciej Zakościelny,,
,Macintyre Dixon,,
,Mackenyu,,
,Mackenzie Astin,,
,Mackenzie Crook,,
,Mackenzie Davis,,
,Mackenzie Foy,,
,Mackenzie Gray,,
,Mackenzie Imsand,,
,MacKenzie Porter,,
,Mackenzie Sol,,
,Macon Blair,,
,Macy Drouin,,
,Macy Gray,,
,Madaleine Arthur,,
,Madalen Mills,,
,Madalina Anea,,
,Madan Joshi,,
,Madan Puri,,
,Mädchen Amick,,
,Maddie Baillio,,
,Maddie Evans,,
,Maddie Hasson,,
,Maddie McCormick,,
,Maddie Phillips,,
,Maddie Ziegler,,
,Maddison Jaizani,,
,Maddy Curley,,
,Madelaine Petsch,,
,Madeleine Blaustein,,
,Madeleine Coghlan,,
,Madeleine Knight,,
,Madeleine Madden,,
,Madeleine Mantock,,
,Madeleine Martin,,
,Madeleine Matar,,
,Madeleine Peters,,
,Madeleine Sami,,
,Madeleine Sherwood,,
,Madeleine Stowe,,
,Madeline Brewer,,
,Madeline Carel,,
,Madeline Carroll,,
,Madeline Kahn,,
,Madeline Leon,,
,Madeline Weinstein,,
,Madeline Zima,,
,Madelyn Cline,,
,Madhampatti Rangaraj,,
,Madhavan,,
,Madhavi,,
,Madhavi Juvekar,,
,Madhavi Singh,,
,Madhavi Soman,,
,Madhu Sapre,,
,Madhukar Niyogi,,
,Madhumalti Kapoor,,
,Madhura Velankar,,
,Madhuri Bhatia,,
,Madhuri Dixit,,
,Madhuri Sanjeev,,
,Madhurima Banerjee,,
,Madhushan Singh,,
,Madhusudhanan,,
,Madisen Beaty,,
,Madison Bailey,,
,Madison Cheeatow,,
,Madison Davenport,,
,Madison Davis,,
,Madison De La Garza,,
,Madison Iseman,,
,Madison Lawlor,,
,Madison Lu,,
,Madison Pettis,,
,Madison Reyes,,
,Madison Taylor Baez,,
,Madison Wolfe,,
,Madison Wright,,
,Madisyn Shipman,,
,Madlyn Tabar,,
,Madoka Hiraide,,
,Madoka Yokoyama,,
,Madoka Yonezawa,,
,Madoka Yoshida,,
,Madonna Sebastian,,
,Mads Jørgensen,,
,Mads Koudal,,
,Mads Mikkelsen,,
,Mads Sjogard Pettersen,,
,Mads Sjøgård Pettersen,,
,Mae Elliessa,,
,Mae Martin,,
,Mae Tan,,
,Mae Whitman,,
,Maeshni Naicker,,
,Maestro Harrell,,
,Maeve Dermody,,
,Maeve Larkin,,
,Maeve O'Meara,,
,Mafalda Carbonell,,
,Magá Moura,,
,Magaji Mijinyawa,,
,Magali Elali,,
,Magaly Solier,,
,Magda Apanowicz,,
,Magda El-Khatib,,
,Magda Szubanski,,
,Magdalena Boczarska,,
,Magdalena Czerwińska,,
,Magdalena Lamparska,,
,Magdalena Walach,,
,Magdalena Źak,,
,Magdalena Zawadzka,,
,Magdi Idris,,
,Magdy Ashour,,
,Magdyel Ugaz,,
,Maged El Kedwany,,
,Maged El-Masri,,
,Magela Zanotta,,
,Maggi Lowe,,
,Maggie Cheung,,
,Maggie Civantos,,
,Maggie Geha,,
,Maggie Grace,,
,Maggie Gyllenhaal,,
,Maggie Lawson,,
,Maggie Meyer,,
,Maggie Parto,,
,Maggie Q,,
,Maggie Siff,,
,Maggie Smith,,
,Maggie Steed,,
,Magi Avila,,
,Magic Johnson,,
,Magnus Carlsen,,
,Magnús Jónsson,,
,Magnus Krepper,,
,Magnus Millang,,
,Magnus Nilsson,,
,Magnús Scheving,,
,Magüi Mira,,
,Maguy Bou Ghosn,,
,Maha Abou Ouf,,
,Maha Ahmed,,
,Maha Sabry,,
,Mahabir Bhullar,,
,Mahabrata Basu,,
,Mahal Pita,,
,Mahaley Patel,,
,Mahamadou Sangaré,,
,Mahavir Bhullar,,
,Mahavir Shah,,
,Mahayotaruk Thiti,,
,Mahek Chahal,,
,Mahendra Rabha,,
,Mahendra Sandhu,,
,Maher Bsaibes,,
,Maher Essam,,
,Maher Khammash,,
,Mahershala Ali,,
,Mahesh Babu,,
,Mahesh Balraj,,
,Mahesh Bhatt,,
,Mahesh Bhosale,,
,Mahesh Gupta,,
,Mahesh Jadu,,
,Mahesh Jugal Kishor,,
,Mahesh Kothare,,
,Mahesh Manjrekar,,
,Mahesh Thakur,,
,Mahfouz Barakat,,
,Mahia Zrouki,,
,Mahie Gill,,
,Mahima Chaudhry,,
,Mahima Nambiar,,
,Mahindra Bajgai,,
,Mahir Günşiray,,
,Mahir İpek,,
,Mahira Abdelaziz,,
,Mahira Khan,,
,Mahiro Takasugi,,
,Mahmood Bin Shamsan,,
,Mahmood El-Laithi,,
,Mahmoud Abdel Moghny,,
,Mahmoud Al Atrash,,
,Mahmoud al Massad,,
,Mahmoud Azim,,
,Mahmoud Babai,,
,Mahmoud Boushahri,,
,Mahmoud Bu Shehri,,
,Mahmoud El Fishawy,,
,Mahmoud El Gendy,,
,Mahmoud El Meleigy,,
,Mahmoud El-Bazzawy,,
,Mahmoud El-Bezzawy,,
,Mahmoud Ellisy,,
,Mahmoud Ellithy,,
,Mahmoud Fares,,
,Mahmoud Hemeida,,
,Mahmoud Hijazi,,
,Mahmoud Mabsout,,
,Mahmud Alibashah,,
,Mahmut Gökgöz,,
,Mahnaz Damania,,
,Mahreen Kaleka,,
,Mahsun Kırmızıgül,,
,Mai Cat Vi,,
,Mai Charoenpura,,
,Mai Duong Kieu,,
,Mai El-Kady,,
,Mai Ezz El-Din,,
,Mai Ezzidine,,
,Mai Fuchigami,,
,Mai Kadowaki,,
,Mai Kanazawa,,
,Mai Nakahara,,
,Mai Sato,,
,Mai Selim,,
,Mai Shiraishi,,
,Maia Filar,,
,Maia Mitchell,,
,Maia Morgenstern,,
,Maiara Walsh,,
,Maica Barroso,,
,Maik Solbach,,
,Maika Monroe,,
,Maika Yamamoto,,
,Maiko,,
,Maile Flanagan,,
,Maïmouna Gueye,,
,Maine Mendoza,,
,Mais Hamdan,,
,Maisa Abd Elhadi,,
,Maisa Silva,,
,Maísa Silva,,
,Maisie Benson,,
,Maisie Richardson-Sellers,,
,Maisie Williams,,
,Maite Lanata,,
,Maite Perroni,,
,Maite Sandoval,,
,Maite Zumelzú,,
,Maithili Patwardhan,,
,Maître Gims,,
,Maitreyi Ramakrishnan,,
,Maïwenn,,
,Maïwenn Le Besco,,
,Maizura,,
,Maj-Britt Mathiesen,,
,Maja Komorowska,,
,Maja Salvador,,
,Maja Schöne,,
,Majdi Kamel,,
,Majdi Machmouchi,,
,Majdouline Idrissi,,
,Majed Abdulazim,,
,Majed Aldheeb,,
,Majed El Masry,,
,Majel Barrett,,
,Majid Michel,,
,Majid Shokor,,
,Majida El Roumi,,
,Majida Issa,,
,Majo Cardoso,,
,Majo Cardozo,,
,Majo Chicar,,
,Mak Wilson,,
,Makarand Anaspure,,
,Makarand Deshpande,,
,Makarand Shukla,,
,Makenzie Lee-Foster,,
,Makenzie Moss,,
,Makgano Mamabolo,,
,Maki Kawase,,
,Maki Tsuruta,,
,Makiko Watanabe,,
,Makio Inoue,,
,Makisig Morales,,
,Mako Ishino,,
,Mako Iwamatsu,,
,Makorn Supinacharoen,,
,Makoto Awane,,
,Makoto Furukawa,,
,Makram Khoury,,
,Makrand Deshpande,,
,Maksim Emelyanov,,
,Maksim Pinsker,,
,Mala Emde,,
,Mala Mukherjee,,
,Mala Sinha,,
,Malachi Kirby,,
,Malachy McCourt,,
,Malaika Arora,,
,Malaika Shenoy,,
,Malaika Wakoli-Abigaba,,
,Malak Koura,,
,Malala Yousafzai,,
,Malavika Mohanan,,
,Malavikka,,
,Malay Chakrabarty,,
,Malcolm Barrett,,
,Malcolm Danare,,
,Malcolm Goodwin,,
,Malcolm McDowell,,
,Malcolm Stewart,,
,Malcolm Treviño-Sitté,,
,Malcolm-Jamal Warner,,
,Malcom Banks,,
,Maleeka Ghai,,
,Malen Clarkson,,
,Malena Alterio,,
,Malena Narvay,,
,Malena Pichot,,
,Malena Sánchez,,
,Malese Jow,,
,Małgorzata Gebel,,
,Małgorzata Kożuchowska,,
,Małgorzata Krzysica,,
,Małgorzata Rożniatowska,,
,Malhar Thakar,,
,Mali Harries,,
,Mali Levi,,
,Malia Baker,,
,Malick Bowens,,
,Malik Bazille,,
,Malik Bine,,
,Malik Nejer,,
,Malik Yoba,,
,Malika,,
,Malin Akerman,,
,Malina Weissman,,
,Malinda Williams,,
,Maliq Johnson,,
,Malkeet Rauni,,
,Mallika Dua,,
,Mallika Sarabhai,,
,Mallika Sherawat,,
,Mallory Jansen,,
,Malobika Banerjee,,
,Malu Galli,,
,Malvika Tiwari,,
,Mama Sane,,
,Mamadou Doumbia,,
,Mamadou Samaké,,
,Mamata Shankar,,
,Mamen Duch,,
,Mami Koyama,,
,Mami Ozaki,,
,Mami Shitara,,
,Mamie Gummer,,
,Mamiko Itoh,,
,Mamiko Noto,,
,Mamley Djangmah,,
,Mammukoya,,
,Mamoru Miyano,,
,Mamoudou Athie,,
,Mamta Kulkarni,,
,Mamtha Mohandas,,
,Man-seok Oh,,
,Man-sik Jung,,
,Man-Wai Wong,,
,Mana Ashida,,
,Manabendra Das,,
,Manaka Iwami,,
,Manami Sugihira,,
,Mananya Kaoju,,
,Manasa Radhakrishnan,,
,Manasi Salvi,,
,Manatsanun Phanlerdwongsakul,,
,Manav Gohil,,
,Manav Kaul,,
,Manav Vij,,
,Manava Naik,,
,Manchindra Kamble,,
,Mandakini,,
,Mandakini Goswami,,
,Mandana Karimi,,
,Mandeep Dhillon,,
,Mandira Bedi,,
,Mandla Gaduka,,
,Mandra Naih,,
,Mandy Chen,,
,Mandy Grace,,
,Mandy Moore,,
,Mandy Patinkin,,
,Mandy Sekiguchi,,
,Mandy Takhar,,
,Mandy Tao,,
,Mandy Teefey,,
,Mandy Wei,,
,Manel Barceló,,
,Mangal Kenkre,,
,Mangala Ahire,,
,Mangesh Desai,,
,Manie Malone,,
,Manikandan,,
,Manikandan R. Achari,,
,Manimegalai,,
,Manish Anand,,
,Manish Bhavan,,
,Manish Bhuvan,,
,Manish Chaudhary,,
,Manish Chauhan,,
,Manish Dayal,,
,Manish Devkush,,
,Manish Khanna,,
,Manish Mehta,,
,Manisha Koirala,,
,Manjari Fadnis,,
,Manjinder Virk,,
,Manjiri Pupala,,
,Manjot Singh,,
,Manju Chettri,,
,Manju Maini,,
,Manju Singh,,
,Manmeet Singh,,
,Mann Patel,,
,Manny Jacinto,,
,Manny Mahen,,
,Manny Montana,,
,Manny Pacquiao,,
,Mano Maniam,,
,Manobala,,
,Manoël Dupont,,
,Manohar Pandey,,
,Manoj Bajpayee,,
,Manoj Bakshi,,
,Manoj Biddvai,,
,Manoj Joshi,,
,Manoj K. Jayan,,
,Manoj Kolhatkar,,
,Manoj Kumar Pramanik,,
,Manoj Pahwa,,
,Manoj Pandey,,
,Manoj Raghubir Sharma,,
,Manoj Sabarwal,,
,Manolo Blahnik,,
,Manolo Cardona,,
,Manolo Solo,,
,Manon Azem,,
,Manon Bresch,,
,Manop Aswathep,,
,Manoranjan Das,,
,Manpneet Grewal,,
,Manpreet Bambra,,
,Manpreet Saggu,,
,Manpreet Singh,,
,Mansaku Fuwa,,
,Mansaku Ikeuchi,,
,Mansha Pasha,,
,Mansoor Alfeeli,,
,Mansour Al Felei,,
,Manthana Wannarod,,
,Manu Bennett,,
,Manu Fullola,,
,Manu Gavassi,,
,Manu NNa,,
,Manu Payet,,
,Manu Rishi Chadha,,
,Manuel 'Flaco' Ibáñez,,
,Manuel Balbi,,
,Manuel Chua,,
,Manuel Cortés,,
,Manuel Garcia-Rulfo,,
,Manuel Huedo,,
,Manuel Landeta,,
,Manuel Lourenzo,,
,Manuel Morón,,
,Manuel Navarro,,
,Manuel Ojeda,,
,Manuel Rubey,,
,Manuel Vicente,,
,Manuela Couto,,
,Manuela Mandracchia,,
,Manuela Oyarzún,,
,Manuela Pacq,,
,Manuela Pal,,
,Manuela Velasco,,
,Manuela Vellés,,
,Manuj Sharma,,
,Manya Gupta,,
,Mao Daichi,,
,Maoni Talalua,,
,Maqbul Mohammed,,
,Mar Ayala,,
,Mar del Hoyo,,
,Mar Saura,,
,Mara Bestelli,,
,Mara Cuevas,,
,Maram Al Bloushi,,
,Maram Balochi,,
,Marama Corlett,,
,Marat Descartes,,
,Marc Akerstream,,
,Marc Andréoni,,
,Marc Balaguer,,
,Marc Barbé,,
,Marc Beaupré,,
,Marc Bendavid,,
,Marc Blucas,,
,Marc Clotet,,
,Marc Diraison,,
,Marc Domènech,,
,Marc Evan Jackson,,
,Marc Hickox,,
,Marc Hosemann,,
,Marc Jarousseau,,
,Marc Macaulay,,
,Marc Maron,,
,Marc Martínez,,
,Marc Menchaca,,
,Marc Rhys,,
,Marc Riso,,
,Marc Rodríguez,,
,Marc Ruchmann,,
,Marc Swint,,
,Marc Thompson,,
,Marc Warren,,
,Marc Wootton,,
,Marc Worden,,
,Marc Zinga,,
,Marc-André Grondin,,
,Marc-Antoine Duquenne,,
,Marca Leigh,,
,Marcel Borràs,,
,Marcel Bouzige,,
,Marcel Bracks,,
,Marcel Ghanem,,
,Marcel Hensema,,
,Marcel Iures,,
,Marcel McCalla,,
,Marcel Ruiz,,
,Marcel Szymanski,,
,Marcel Van Heerden,,
,Marcela Agudelo,,
,Marcela Álvarez,,
,Marcela Benjumea,,
,Marcela Gallego,,
,Marcela Guerty,,
,Marcela Guirado,,
,Marcela Mar,,
,Marceline Hugot,,
,Marcella Arguello,,
,Marcellino Lafrand,,
,Marcello Airoldi,,
,Marcello Rivera,,
,Marcello Thedford,,
,Marcelo Alonso,,
,Marcelo D'Andrea,,
,Marcelo Fernández Borsari,,
,Marcelo Médici,,
,Marcelo Serrado,,
,Marcelo Subiotto,,
,Marcelo Tubert,,
,Marcelo Valle,,
,Marci Miller,,
,Marci T. House,,
,Marcia Bennett,,
,Marcia DeBonis,,
,Marcia Gay Harden,,
,Marcial Álvarez,,
,Marcial Tagle,,
,Marcin Dorociński,,
,Marco Antônio Pâmio,,
,Marco Antonio Treviño,,
,Marco Aurélio Campos,,
,Marco Baeza,,
,Marco Baliani,,
,Marco Bocci,,
,Marco Cáceres,,
,Marco Canadea,,
,Marco D'Amore,,
,Marco de la O,,
,Marco Di Tieri,,
,Marco Giallini,,
,Marco Grazzini,,
,Marco Gumabao,,
,Marco Hernandez,,
,Marco Ilsø,,
,Marco Leonardi,,
,Marco Luque,,
,Marco Masa,,
,Marco Méndez,,
,Marco Messeri,,
,Marco Palvetti,,
,Marco Pérez,,
,Marco Pigossi,,
,Marco Ricca,,
,Marco Rodriguez,,
,Marco Spronk,,
,Marco Tostado,,
,Marco Treviño,,
,Marco Uriel,,
,Marco Zunino,,
,Marcos Caruso,,
,Marcos Franz,,
,Marcos Mion,,
,Marcos Moreno,,
,Marcos Oliveira,,
,Marcus Brigstocke,,
,Marcus Chang,,
,Marcus Chiau,,
,Marcus Chong,,
,Marcus D'Amico,,
,Marcus D'Angelo,,
,Marcus du Sautoy,,
,Marcus Graham,,
,Marcus Griffin,,
,Marcus Griffiths,,
,Marcus Henderson,,
,Marcus Lamb,,
,Marcus LaVoi,,
,Marcus Lyle Brown,,
,Marcus Ornellas,,
,Marcus Scribner,,
,Marcus T. Paulk,,
,Marcus Thomas,,
,Marcus Vanco,,
,Mare Winningham,,
,Maree Cheatham,,
,Marek Kalita,,
,Marek Kondrat,,
,Maren Heary,,
,Margaret Avery,,
,Margaret Cho,,
,Margaret Clunie,,
,Margaret Colin,,
,Margaret Jackman,,
,Margaret Lin,,
,Margaret Qualley,,
,Margaret Towner,,
,Margaret Wang,,
,Margaret Whitton,,
,Margarita Magaña,,
,Margarita Muñoz,,
,Margarita Reyes,,
,Margarita Rosa de Francisco,,
,Margarita Sanz,,
,Margarita Valderrama,,
,Margaux Bonin,,
,Margherita Caviezel,,
,Margherita Donato,,
,Margherita Morchio,,
,Margie McCrae,,
,Margo Stilley,,
,Margot Bancilhon,,
,Margot Bingham,,
,Margot Dufrene,,
,Margot Farley,,
,Margot Robbie,,
,Marguerite McNeil,,
,Marguerite Moreau,,
,Marguerite Wheatley,,
,Marhoom Ahmad Bilal,,
,Mari Devon,,
,Mari Hamada,,
,Mari Hino,,
,Mari Maruta,,
,Mari Mashiba,,
,Mari Morrow,,
,Mari Natsuki,,
,Mari Nelson,,
,Mari Yaguchi,,
,Mari Yamachi,,
,María Alfonsa Rosso,,
,Maria Angelico,,
,María Antonieta de las Nieves,,
,María Aura,,
,Maria Bamford,,
,Maria Bello,,
,Maria Blasucci,,
,Maria Bock,,
,Maria Casadevall,,
,María Cecilia Botero,,
,María Cecilia Sánchez,,
,Maria Cordero,,
,María Costas,,
,María De La Fuente,,
,Maria de Medeiros,,
,María de Nati,,
,Maria Dejmek,,
,Maria del Carmen Farías,,
,Maria Diekmann,,
,Maria DiGeronimo,,
,Maria Dinulescu,,
,Maria Dizzia,,
,Maria Doyle Kennedy,,
,María Dupláa,,
,Maria Eduarda,,
,María Elena Olivares,,
,María Esnoz,,
,Maria Farida,,
,María Fernanda García,,
,María Fernanda Matus,,
,María Fernanda Yepes,,
,María Fernanda Yépes,,
,María Fernanda Yépez,,
,Maria Grazia Cucinotta,,
,Maria Grazia Di Meo,,
,María Guinea,,
,Maria Hofstätter,,
,María Isabel Díaz,,
,Maria Isabel Lopez,,
,María José Sarrate,,
,Maria Jose Vargas,,
,María José Vargas,,
,Maria Kawamura,,
,Maria Khan,,
,Maria Klejdysz,,
,Maria Laura Nogueira,,
,María Laura Quintero,,
,María León,,
,Maria Louis,,
,Maria Luisa De Crescenzo,,
,María Luisa Flores,,
,Maria Menado,,
,María Mendive,,
,María Mera,,
,Maria Mercedes,,
,Maria Merlino,,
,Maria Molins,,
,María Morales,,
,Maria Muldaur,,
,Maria Naganawa,,
,María Noel Gutiérrez,,
,María Onetto,,
,Maria Pakulnis,,
,Maria Palm,,
,María Paz Grandjean,,
,María Pedraza,,
,Maria Pia Calzone,,
,María Pujalte,,
,María Rodríguez Soto,,
,Maria Sabta,,
,María Salgueiro,,
,Maria Sid,,
,María Soldi,,
,Maria Sundbom,,
,María Tasende,,
,María Valverde,,
,María Vázquez,,
,Maria Yohannan,,
,María Zamora,,
,Mariah Carey,,
,Mariam Al-Ghadban,,
,Mariam Bassa,,
,Mariam Bokeria,,
,Mariam El Khosht,,
,Mariam Precious Sanusi,,
,Mariama Gassama,,
,Marian Álvarez,,
,Marian Dziędziel,,
,Marian Glinka,,
,Marian Saastad Ottesen,,
,Mariana Amâncio,,
,Mariana Botas,,
,Mariana Cabrera,,
,Mariana Carballal,,
,Mariana Cordero,,
,Mariana de Matos,,
,Mariana Garzón,,
,Mariana Gómez,,
,Mariana Klaveno,,
,Mariana Mazza,,
,Mariana Sena,,
,Mariana Seoane,,
,Mariana Treviño,,
,Marianna Burelli,,
,Marianna Palka,,
,Marianne Jean-Baptiste,,
,Marianne Miller,,
,Marianne Mörck,,
,Marianne Rendón,,
,Marianne Sägebrecht,,
,Marianne Schaller Romero,,
,Marianne Williamson,,
,Mariano Mattos Martins,,
,Maribel del Pino,,
,Maribel Salas,,
,Maribel Verdú,,
,Maricar Reyes,,
,Maricel Laxa,,
,Maricel Soriano,,
,Marie Askehave,,
,Marie Avgeropoulos,,
,Marie Blokhus,,
,Marie Danielle,,
,Marie Denarnaud,,
,Marie Drion,,
,Marie Everett,,
,Marie Fontannaz,,
,Marie Humbert,,
,Marie Kondo,,
,Marie Kremer,,
,Marie Leuenberger,,
,Marie Matiko,,
,Marie Miyake,,
,Marie Mottet,,
,Marie Mouté,,
,Marie-Ange Casta,,
,Marie-Evelyne Lessard,,
,Marie-Françoise Theodore,,
,Marie-Ginette Guay,,
,Marie-Josée Croze,,
,Marie-Julie Baup,,
,Marie-Line Landerwyn,,
,Marie-Philomène Nga,,
,Marie-Sophie Ferdane,,
,Mariee Devereux,,
,Marieh Delfino,,
,Mariel Hemingway,,
,Marielle Heller,,
,Marieve Herington,,
,Marije Zuurveld,,
,Marika Casteel,,
,Marika Hayashi,,
,Mariko Hayashi,,
,Mariko Tsutsui,,
,Marilou Aussilloux,,
,Marilu Marini,,
,Marilyn Burns,,
,Marilyn Castonguay,,
,Marilyn Norry,,
,Marimar Vega,,
,Marin Hinkle,,
,Marin Ireland,,
,Marina Bellati,,
,Marina Brandão,,
,Marina de Tavira,,
,Marina Foïs,,
,Marina Goldman,,
,Marina Hands,,
,Marina Inoue,,
,Marina Kaletskaya,,
,Marina Popovic,,
,Marina Provenzzano,,
,Marina Salas,,
,Marina San José,,
,Marina Sirtis,,
,Marinda Halpin,,
,Marine Vacth,,
,Mario Adorf,,
,Mario Alarcón,,
,Mario Alberto Monroy,,
,Mario Batali,,
,Mario Cantone,,
,Mario Carotenuto,,
,Mario Casas,,
,Mario Cimarro,,
,Mario Duarte,,
,Mario Espitia,,
,Mario Gallo,,
,Mario Gamma,,
,Mario Guerci,,
,Mario Guerra,,
,Mario Horton,,
,Mario Iván Martínez,,
,Mario Lopez,,
,Mario Magalhaes,,
,Mario Maurer,,
,Mario Moran,,
,Mario Revolori,,
,Mario Tardón,,
,Mario Van Peebles,,
,Mario Zaragoza,,
,Mariola Fuentes,,
,Marion Bailey,,
,Marion Cotillard,,
,Marion Lambert,,
,Marion Ross,,
,Marion Van Cuyck,,
,Mariona Pagès,,
,Mariona Terés,,
,Maris Degener,,
,Maris Racal,,
,Marisa Berenson,,
,Marisa Brown,,
,Marisa Lynae Hampton,,
